grid_id,area_name,population,elderly_share,tree_cover,heat_c,transit_access,health_access,data_coverage,vulnerability,priority_score
NJ0303,Teaching area 3-3,5783,0.2408,0.3448,35.3956,0.4524,0.3493,0.8272,0.3789,-0.1572
NJ0304,Teaching area 3-4,5765,0.1954,0.1848,37.1478,0.522,0.4895,0.7812,0.3226,0.5614
NJ0305,Teaching area 3-5,8005,0.1651,0.181,37.3413,0.7357,0.5534,0.7418,0.2098,-0.6225
NJ0306,Teaching area 3-6,8031,0.1495,0.2489,37.6216,0.7637,0.6463,0.7742,0.1886,-0.6521
NJ0307,Teaching area 3-7,9539,0.154,0.1874,38.1395,0.6993,0.6351,0.731,0.22,0.13
NJ0308,Teaching area 3-8,8232,0.1477,0.2314,37.9595,0.6616,0.5812,0.6723,0.2335,0.147
NJ0309,Teaching area 3-9,7446,0.1572,0.1836,37.8868,0.5767,0.5752,0.6169,0.277,0.6048
NJ0310,Teaching area 3-10,6011,0.1932,0.2219,37.4353,0.5971,0.3545,0.5771,0.2876,0.3735
NJ0311,Teaching area 3-11,5112,0.1713,0.2576,36.591,0.5473,0.3694,0.5653,0.2979,-0.171
NJ0312,Teaching area 3-12,5276,0.2088,0.3068,36.4758,0.5327,0.3769,0.5123,0.3251,0.0599
NJ0401,Teaching area 4-1,3122,0.2379,0.204,36.2217,0.2963,0.2569,0.965,0.4475,1.3094
NJ0402,Teaching area 4-2,4175,0.2118,0.2097,35.5374,0.379,0.2481,0.9232,0.3959,0.157
NJ0403,Teaching area 4-3,6639,0.2143,0.2825,36.8927,0.4595,0.3671,0.8496,0.3611,0.8158
NJ0404,Teaching area 4-4,7091,0.1557,0.2254,37.6529,0.584,0.5959,0.846,0.2728,0.3711
NJ0405,Teaching area 4-5,9049,0.1431,0.1835,38.6595,0.6628,0.6871,0.7646,0.2305,0.6646
NJ0406,Teaching area 4-6,10749,0.1407,0.1743,39.4803,0.8714,0.7341,0.7613,0.1353,0.1858
NJ0407,Teaching area 4-7,10786,0.1548,0.175,38.9392,0.8051,0.7413,0.7585,0.1729,0.2036
NJ0408,Teaching area 4-8,9756,0.1192,0.2289,37.931,0.7558,0.6523,0.6751,0.1755,-0.5629
NJ0409,Teaching area 4-9,7651,0.1741,0.2489,38.2299,0.773,0.7381,0.6251,0.1979,-0.0604
NJ0410,Teaching area 4-10,7357,0.1702,0.1913,37.2878,0.6503,0.5067,0.6272,0.251,-0.1766
NJ0411,Teaching area 4-11,4937,0.1924,0.2801,37.4929,0.5466,0.4449,0.591,0.3098,0.6828
NJ0412,Teaching area 4-12,5879,0.1993,0.2189,36.7383,0.5411,0.4049,0.5247,0.3161,0.1608
NJ0501,Teaching area 5-1,3242,0.2553,0.2401,36.1801,0.3906,0.2579,0.9674,0.4147,0.887
NJ0502,Teaching area 5-2,4506,0.2423,0.2779,35.4776,0.3857,0.34,0.8382,0.4097,0.2732
NJ0503,Teaching area 5-3,5000,0.2032,0.1957,36.9413,0.4919,0.3808,0.8794,0.3404,0.6094
NJ0504,Teaching area 5-4,6644,0.1602,0.2367,37.1401,0.6964,0.5195,0.8476,0.2247,-0.6043
NJ0505,Teaching area 5-5,8353,0.1327,0.2421,38.4346,0.7309,0.7989,0.792,0.1941,0.0564
NJ0506,Teaching area 5-6,10516,0.1427,0.2408,38.62,0.8677,0.8272,0.7586,0.138,-0.4622
NJ0507,Teaching area 5-7,10137,0.1087,0.1959,39.0333,0.8307,0.6912,0.7351,0.1359,-0.1596
NJ0508,Teaching area 5-8,8781,0.1516,0.2338,38.7813,0.7343,0.6516,0.6737,0.2029,0.435
NJ0509,Teaching area 5-9,8190,0.1511,0.2824,38.5267,0.8016,0.6919,0.6252,0.1724,-0.1282
NJ0510,Teaching area 5-10,6473,0.1628,0.2855,37.5626,0.6684,0.4767,0.6201,0.2387,-0.1043
NJ0511,Teaching area 5-11,7004,0.2062,0.3113,36.6449,0.5416,0.3117,0.535,0.3197,0.1295
NJ0512,Teaching area 5-12,4902,0.1935,0.2274,36.675,0.5145,0.406,0.5484,0.3249,0.2149
NJ0601,Teaching area 6-1,3116,0.239,0.3068,35.2017,0.298,0.3211,0.9482,0.4474,0.5013
NJ0602,Teaching area 6-2,4063,0.2459,0.4026,34.7841,0.3853,0.1806,0.8693,0.4119,-0.2494
NJ0603,Teaching area 6-3,4859,0.2173,0.3675,35.5016,0.4139,0.4523,0.8404,0.3832,-0.0216
NJ0604,Teaching area 6-4,6097,0.1881,0.289,36.9156,0.4785,0.4824,0.8404,0.3381,0.5616
NJ0605,Teaching area 6-5,7599,0.1545,0.3293,36.7328,0.6228,0.5501,0.7703,0.2547,-0.5706
NJ0606,Teaching area 6-6,8836,0.1544,0.2558,38.1966,0.753,0.6399,0.745,0.1961,-0.1086
NJ0607,Teaching area 6-7,8827,0.1447,0.2468,37.4658,0.7097,0.5045,0.6847,0.2103,-0.5183
NJ0608,Teaching area 6-8,8052,0.1659,0.3147,38.0138,0.5996,0.5411,0.6742,0.2714,0.6394
NJ0609,Teaching area 6-9,8258,0.163,0.315,37.4565,0.7197,0.5062,0.5824,0.2158,-0.4601
NJ0610,Teaching area 6-10,6000,0.1941,0.3364,36.3337,0.5457,0.4035,0.5896,0.3112,-0.2176
NJ0611,Teaching area 6-11,5786,0.1705,0.2871,36.8971,0.5059,0.4215,0.5207,0.3161,0.2867
NJ0612,Teaching area 6-12,5113,0.2092,0.2948,36.5298,0.4448,0.2734,0.5159,0.3649,0.5739
NJ0701,Teaching area 7-1,3297,0.2519,0.602,33.6036,0.4325,0.2272,0.9247,0.394,-1.3948
NJ0702,Teaching area 7-2,4060,0.2525,0.4921,34.5016,0.2555,0.1635,0.8626,0.4739,0.262
NJ0703,Teaching area 7-3,3477,0.2278,0.5272,35.1334,0.3932,0.3081,0.8305,0.3983,-0.134
NJ0704,Teaching area 7-4,4707,0.1979,0.4882,35.0321,0.5027,0.4262,0.8157,0.3327,-0.992
NJ0705,Teaching area 7-5,5712,0.1877,0.4813,35.861,0.4413,0.4024,0.7558,0.3546,-0.0763
NJ0706,Teaching area 7-6,7143,0.1736,0.487,36.0327,0.6095,0.3899,0.7215,0.2712,-0.9292
NJ0707,Teaching area 7-7,5451,0.1651,0.4825,37.1133,0.599,0.4544,0.6863,0.2713,-0.0741
NJ0708,Teaching area 7-8,6456,0.1609,0.514,36.0693,0.574,0.4792,0.6428,0.2802,-0.7934
NJ0709,Teaching area 7-9,6194,0.1719,0.4711,36.4328,0.5494,0.4669,0.6304,0.2973,-0.3036
NJ0710,Teaching area 7-10,5464,0.1984,0.5589,35.2389,0.4245,0.3914,0.5778,0.3681,-0.4081
NJ0711,Teaching area 7-11,5112,0.1987,0.5163,36.0357,0.4969,0.3442,0.5046,0.3357,-0.1627
NJ0712,Teaching area 7-12,4940,0.2243,0.4818,34.9598,0.4863,0.3607,0.5318,0.3546,-0.7894
NJ0801,Teaching area 8-1,3225,0.2507,0.6173,34.0484,0.3,0.1929,0.8844,0.4529,-0.345
NJ0802,Teaching area 8-2,3254,0.2434,0.5657,33.9055,0.2857,0.2162,0.8636,0.4553,-0.4294
NJ0803,Teaching area 8-3,3496,0.2384,0.6531,34.3939,0.3777,0.3213,0.8355,0.4112,-0.5662
NJ0804,Teaching area 8-4,2911,0.1981,0.5557,34.8821,0.2671,0.257,0.7664,0.4388,0.1467
NJ0805,Teaching area 8-5,4128,0.1885,0.5691,35.0645,0.399,0.2316,0.7504,0.3741,-0.4752
NJ0806,Teaching area 8-6,3837,0.1901,0.5481,35.0026,0.466,0.3339,0.7155,0.3448,-0.8709
NJ0807,Teaching area 8-7,4501,0.1975,0.5737,35.4147,0.3788,0.2248,0.6979,0.3882,-0.0319
NJ0808,Teaching area 8-8,4050,0.1933,0.6058,34.6218,0.4269,0.3201,0.6254,0.3642,-0.9423
NJ0809,Teaching area 8-9,4447,0.1997,0.5454,35.349,0.5327,0.3313,0.6091,0.3201,-0.8898
NJ0810,Teaching area 8-10,3682,0.1935,0.5683,35.6067,0.4756,0.3386,0.5179,0.3424,-0.4221
NJ0811,Teaching area 8-11,5211,0.1988,0.6106,35.5231,0.5164,0.3975,0.515,0.327,-0.6711
NJ0812,Teaching area 8-12,5574,0.1866,0.5586,35.6924,0.4839,0.3601,0.4594,0.3349,-0.4436
